id,prob,label
0,0.8930428,1
1,0.027880594,0
2,0.74612993,0
3,0.91909623,1
4,0.6324616,0
5,0.6699628,0
6,0.8845922,1
7,0.87481034,1
8,0.5406158,0
9,0.92039007,1
10,0.8955985,0
11,0.8986665,0
12,0.8956177,0
13,0.8755012,1
14,0.85160136,0
15,0.8736138,0
16,0.19126467,0
17,0.85851705,1
18,0.8968896,0
19,0.86446005,0
20,0.91490763,0
21,0.7031586,0
22,0.86202765,0
23,0.92199904,0
24,0.44911873,0
25,0.872386,0
26,0.8284212,0
27,0.827706,1
28,0.8888016,1
29,0.8896524,1
30,0.5606201,0
31,0.7860703,0
32,0.9177533,1
33,0.8963364,1
34,0.8594476,0
35,0.8022348,1
36,0.23661248,0
37,0.531689,0
38,0.8815192,0
39,0.89878696,1
40,0.90942657,1
41,0.7610316,0
42,0.8733279,0
43,0.42139274,0
44,0.87488854,1
45,0.8604079,0
46,0.7897251,1
47,0.878318,1
48,0.8991215,1
49,0.8581609,1
50,0.8924601,1
51,0.87212557,0
52,0.75539523,1
53,0.7661212,0
54,0.40831214,0
55,0.74551314,1
56,0.54847896,0
57,0.9095256,0
58,0.59608924,0
59,0.84475374,0
60,0.77095675,0
61,0.8460079,1
62,0.1180421,0
63,0.84643143,1
64,0.8809715,1
65,0.86776185,1
66,0.10116086,0
67,0.90330803,1
68,0.8193076,1
69,0.9106121,1
70,0.8205184,1
71,0.7109338,0
72,0.8939322,0
73,0.85317296,0
74,0.7305292,0
75,0.8877234,0
76,0.8054885,1
77,0.91458845,1
78,0.82126576,0
79,0.8549907,0
80,0.85843134,1
81,0.81639284,0
82,0.8949689,0
83,0.90027136,0
84,0.8655485,1
85,0.90835315,1
86,0.85283476,1
87,0.7081469,0
88,0.8992272,1
89,0.7797647,0
90,0.90513146,0
91,0.6424197,0
92,0.84163785,1
93,0.23069441,0
94,0.83203495,1
95,0.8874933,1
96,0.778325,0
97,0.88510394,1
98,0.82380635,0
99,0.76271945,1
100,0.7794038,0
101,0.657326,0
102,0.4609941,0
103,0.60909355,0
104,0.89091617,1
105,0.8911043,1
106,0.8351349,0
107,0.7789545,0
108,0.83039606,1
109,0.09847601,0
110,0.89472795,1
111,0.84466416,1
112,0.8926349,0
113,0.90159243,1
114,0.534736,0
115,0.37775636,0
116,0.78993535,0
117,0.8396633,1
118,0.8551007,0
119,0.9007467,1
120,0.79830265,1
121,0.8356315,0
122,0.90483,0
123,0.905644,1
124,0.8102893,0
125,0.8798924,0
126,0.8698444,1
127,0.30836192,0
128,0.10397419,0
129,0.8511258,1
130,0.88118386,1
131,0.47743124,1
132,0.89928037,1
133,0.82698905,1
134,0.101496235,0
135,0.8685929,1
136,0.8769569,1
137,0.046730958,0
138,0.8896638,1
139,0.8854629,0
140,0.8256482,1
141,0.6854348,0
142,0.8361114,1
143,0.7962516,1
144,0.90453327,1
145,0.79171324,0
146,0.62600005,0
147,0.8177143,1
148,0.89878815,1
149,0.88119,0
150,0.8513337,1
151,0.8826087,1
152,0.13698514,0
153,0.6561761,0
154,0.86468273,0
155,0.8910281,0
156,0.115860105,0
157,0.09617212,0
158,0.74915457,0
159,0.82710385,0
160,0.8610975,0
161,0.882933,1
162,0.9123835,1
163,0.9017286,1
164,0.16898356,0
165,0.8390963,0
166,0.86468923,1
167,0.38569254,0
168,0.84052324,1
169,0.84861493,1
170,0.852765,0
171,0.88925177,1
172,0.8869335,0
173,0.8376641,1
174,0.90509534,1
175,0.91037077,1
176,0.838049,0
177,0.8991145,0
178,0.87829155,0
179,0.85340184,1
180,0.8133891,0
181,0.9000531,1
182,0.32754493,0
183,0.89603627,0
184,0.8960131,1
185,0.9011386,1
186,0.9056609,0
187,0.9028898,1
188,0.051757496,0
189,0.86338395,1
190,0.887929,1
191,0.8643691,1
192,0.913133,0
193,0.83994615,1
194,0.84321886,1
195,0.88370234,1
196,0.8348973,1
197,0.9044658,1
198,0.80822474,0
199,0.8889139,0
200,0.8928828,1
201,0.89768666,1
202,0.77352226,0
203,0.7759915,0
204,0.8446253,0
205,0.6327105,1
206,0.8918579,0
207,0.8526918,0
208,0.90156627,1
209,0.91964126,1
210,0.61760205,0
211,0.8958952,1
212,0.72253245,1
213,0.89869386,1
214,0.7717145,1
215,0.7631228,1
216,0.1720361,0
217,0.89539236,1
218,0.8796545,0
219,0.91159517,1
220,0.91108984,1
221,0.88405615,0
222,0.8092311,1
223,0.7670479,0
224,0.03990949,0
225,0.84683186,1
226,0.8604456,1
227,0.19386671,0
228,0.85090303,0
229,0.8705858,1
230,0.85955995,0
231,0.90211755,0
232,0.43416625,0
233,0.8777135,1
234,0.9162246,0
235,0.48749095,0
236,0.8538535,0
237,0.7877053,1
238,0.8941134,0
239,0.8408194,1
240,0.8971731,1
241,0.42808935,1
242,0.4322491,0
243,0.5699267,1
244,0.89403224,1
245,0.90694606,1
246,0.83510494,1
247,0.6836134,0
248,0.8324002,0
249,0.88775045,1
250,0.7625085,1
251,0.81996495,1
252,0.8976661,1
253,0.6785646,0
254,0.8992327,1
255,0.9144979,1
256,0.8654021,1
257,0.91182256,1
258,0.8241972,0
259,0.908743,1
260,0.9017709,1
261,0.083391465,0
262,0.88206923,0
263,0.8309396,0
264,0.86370903,1
265,0.8912589,0
266,0.8946957,1
267,0.081199326,0
268,0.898291,1
269,0.91000634,0
270,0.820378,1
271,0.8644098,0
272,0.7416037,1
273,0.6263559,0
274,0.81313497,1
275,0.7258451,0
276,0.8689098,0
277,0.89724976,0
278,0.7695583,1
279,0.9099434,1
280,0.88475883,1
281,0.91729444,1
282,0.7725886,1
283,0.8911665,1
284,0.7936401,1
285,0.91674006,1
286,0.89710295,1
287,0.9065718,0
288,0.8813572,1
289,0.47252342,0
290,0.077967405,0
291,0.9014526,1
292,0.8446829,1
293,0.8870619,1
294,0.81665164,0
295,0.7495647,0
296,0.64575475,0
297,0.89277047,1
298,0.86521125,1
299,0.8765939,1
300,0.8154675,1
301,0.90283185,1
302,0.8607381,0
303,0.90380067,1
304,0.8631707,0
305,0.6628605,0
306,0.90985686,1
307,0.9040443,1
308,0.46569678,0
309,0.5709359,0
310,0.8045094,1
311,0.82915956,0
312,0.74903715,0
313,0.8631357,1
314,0.9158878,0
315,0.4621392,0
316,0.6008407,0
317,0.9174729,1
318,0.9020676,0
319,0.90844506,1
320,0.91531026,1
321,0.7856789,0
322,0.862355,1
323,0.879901,1
324,0.8347302,0
325,0.9072992,1
326,0.85551286,1
327,0.82653475,0
328,0.8080723,0
329,0.509184,0
330,0.8718238,1
331,0.8684963,1
332,0.83476084,1
333,0.9016245,0
334,0.9089965,1
335,0.6878144,0
336,0.9054223,0
337,0.8399561,0
338,0.88387513,1
339,0.8791459,1
340,0.83183163,1
341,0.8354713,1
342,0.6891564,0
343,0.6369912,1
344,0.91506135,1
345,0.8614179,0
346,0.43627748,0
347,0.25637412,0
348,0.85509044,1
349,0.9104532,0
350,0.9063713,0
351,0.8236512,1
352,0.8874481,0
353,0.87703156,0
354,0.859877,1
355,0.9212411,1
356,0.33480054,0
357,0.91894686,1
358,0.7906093,1
359,0.8215494,1
360,0.90787345,1
361,0.8564181,0
362,0.76848143,0
363,0.88311577,1
364,0.4992652,1
365,0.9084638,1
366,0.82865936,0
367,0.5004208,0
368,0.8849851,0
369,0.87340736,1
370,0.84973097,0
371,0.6414148,0
372,0.54448384,0
373,0.8404054,1
374,0.83032393,1
375,0.7833175,0
376,0.7178113,1
377,0.8845419,1
378,0.91510755,1
379,0.882798,0
380,0.8619249,0
381,0.6162655,0
382,0.85993415,1
383,0.8659266,1
384,0.84516704,0
385,0.5335105,0
386,0.8563161,0
387,0.7722235,1
388,0.89993554,1
389,0.87864393,1
390,0.75883096,1
391,0.85923463,0
392,0.5182815,0
393,0.8999883,0
394,0.8192715,0
395,0.866595,1
396,0.7736101,0
397,0.638146,0
398,0.8279381,0
399,0.8283174,0
400,0.5825677,0
401,0.916946,1
402,0.90231717,0
403,0.8607055,1
404,0.90644723,1
405,0.20174211,0
406,0.77625,1
407,0.91989094,0
408,0.7644369,0
409,0.91830534,0
410,0.48071206,0
411,0.19536394,0
412,0.90566695,1
413,0.79136384,1
414,0.8261184,0
415,0.83986175,1
416,0.8651163,1
417,0.8147073,1
418,0.8206743,0
419,0.85069966,1
420,0.87055385,1
421,0.8680122,0
422,0.8947684,0
423,0.46636343,1
424,0.90820193,0
425,0.85152596,1
426,0.9013579,1
427,0.8615759,0
428,0.70738304,0
429,0.9080112,1
430,0.9118405,1
431,0.7052141,0
432,0.83750355,1
433,0.89481676,1
434,0.821787,1
435,0.73052,1
436,0.87669086,0
437,0.78932303,1
438,0.91938835,1
439,0.8878591,1
440,0.80110794,0
441,0.3680112,0
442,0.6690737,0
443,0.6051748,0
444,0.9027719,0
445,0.6922085,1
446,0.7908566,0
447,0.5550022,0
448,0.7958319,1
449,0.8496683,0
450,0.8861715,1
451,0.9013759,0
452,0.9065762,1
453,0.90110314,1
454,0.8520023,1
455,0.8007117,0
456,0.9034724,1
457,0.8508078,1
458,0.8380762,1
459,0.8792928,0
460,0.8033824,1
461,0.8590848,0
462,0.7734713,1
463,0.8726135,0
464,0.6361808,1
465,0.85864913,1
466,0.89604026,0
