id,prob,label
0,0.9671579,1
1,1.4810162e-08,0
2,0.0025439868,0
3,0.69261456,1
4,0.94195837,0
5,6.019484e-08,0
6,0.8731087,1
7,0.88315946,1
8,0.77062756,0
9,0.007994231,1
10,0.9947663,0
11,0.6929608,0
12,0.48835307,0
13,0.99346954,1
14,0.0012041363,0
15,0.93775964,0
16,1.1939108e-08,0
17,0.534194,1
18,0.5744786,0
19,0.17812772,0
20,0.6560425,0
21,0.3090686,0
22,3.6583883e-06,0
23,0.6573996,0
24,2.9982743e-09,0
25,0.47813702,0
26,0.17139061,0
27,0.6511751,1
28,0.10225637,1
29,0.8649353,1
30,1.3749637e-06,0
31,0.015890053,0
32,0.9982295,1
33,0.55667406,1
34,0.6182239,0
35,0.05462999,1
36,3.546099e-06,0
37,0.00026026857,0
38,0.8762315,0
39,0.85427266,1
40,0.6057798,1
41,1.7456383e-05,0
42,0.003710255,0
43,5.87974e-07,0
44,0.44231045,1
45,0.5679583,0
46,0.93997437,1
47,0.8030597,1
48,0.9883361,1
49,0.101955704,1
50,0.40309307,1
51,0.47282863,0
52,0.9932052,1
53,3.9864376e-06,0
54,0.00021925484,0
55,0.92112106,1
56,0.2723546,0
57,0.9989272,0
58,0.21223259,0
59,0.99738854,0
60,0.008160315,0
61,0.75905406,1
62,1.8490283e-07,0
63,0.36618033,1
64,0.99532086,1
65,0.957864,1
66,0.009463405,0
67,0.7348143,1
68,0.47279,1
69,0.99771494,1
70,0.47023547,1
71,0.04122914,0
72,1.8955299e-06,0
73,0.54930276,0
74,0.001302735,0
75,0.88098115,0
76,0.18105926,1
77,0.9942848,1
78,0.0024438968,0
79,0.00012471495,0
80,0.99981093,1
81,0.0031603544,0
82,0.095169425,0
83,0.13336255,0
84,0.7462438,1
85,0.01579016,1
86,0.98079073,1
87,0.0016889682,0
88,0.98637587,1
89,2.575811e-05,0
90,0.9638355,0
91,0.00014145102,0
92,0.98953426,1
93,2.3624493e-08,0
94,0.34966397,1
95,0.0050291317,1
96,0.52059853,0
97,0.7295185,1
98,0.0067502246,0
99,0.9555311,1
100,0.14540774,0
101,0.0036268428,0
102,0.030265668,0
103,0.00011049352,0
104,0.044189576,1
105,0.9904394,1
106,0.036515135,0
107,0.27073103,0
108,0.8701825,1
109,0.90103763,0
110,0.96411705,1
111,0.814288,1
112,0.5304603,0
113,0.97342575,1
114,1.858784e-07,0
115,0.019811332,0
116,0.0021253203,0
117,0.75790644,1
118,7.84279e-06,0
