id,prob,label
0,0.99994975,1
1,0.9914681,0
2,0.99982095,0
3,0.99997586,1
4,0.99800366,0
5,0.9985682,0
6,0.9999843,1
7,0.99987125,1
8,0.9999911,0
9,0.9966049,1
10,0.9999071,0
11,0.99985766,0
12,0.9999152,0
13,0.99998885,1
14,0.98744786,0
15,0.99910367,0
16,0.99991566,0
17,0.9997711,1
18,0.99739116,0
19,0.99941003,0
20,0.99998516,0
21,0.99991935,0
22,0.9999996,0
23,0.9994764,0
24,0.56241333,0
25,0.99999017,0
26,0.99952585,0
27,0.999285,1
28,0.9999419,1
29,0.99996585,1
30,0.9999996,0
31,0.9999979,0
32,0.9995498,1
33,0.999999,1
34,0.9999979,0
35,0.9997828,1
36,0.9999992,0
37,0.9541091,0
38,0.9999948,0
39,0.999999,1
40,0.9990761,1
41,0.99420613,0
42,0.7508468,0
43,0.9999886,0
44,0.99999934,1
45,0.99993545,0
46,0.9999979,1
47,0.999999,1
48,0.99999696,1
49,0.99998754,1
50,0.9999998,1
51,0.9999941,0
52,0.9999998,1
53,0.9994205,0
54,0.98865783,0
55,0.9999271,1
56,0.9989824,0
57,0.9999959,0
58,0.999976,0
59,0.9999817,0
60,0.9999648,0
61,0.99999994,1
62,0.9998918,0
63,0.9999991,1
64,0.99983025,1
65,0.99994284,1
66,0.9959273,0
67,0.9999251,1
68,0.99973536,1
69,0.99838716,1
70,0.9946026,1
71,0.99999684,0
72,0.9993518,0
73,0.99999815,0
74,0.99998635,0
75,0.9999762,0
76,0.99999946,1
77,0.99859846,1
78,0.99999696,0
79,0.9994463,0
80,0.9999985,1
81,0.9999965,0
82,0.9999961,0
83,0.9996318,0
84,0.9999992,1
85,0.9999594,1
86,0.9999936,1
87,0.9998825,0
88,0.9999978,1
89,0.99999994,0
90,0.99999994,0
91,0.9999804,0
92,0.99999994,1
93,0.89291686,0
94,0.9970018,1
95,0.999973,1
96,0.9996425,0
97,0.9995423,1
98,0.9997921,0
99,0.9999967,1
100,0.9999986,0
101,0.99999994,0
102,0.9999986,0
103,0.9999772,0
104,0.9999986,1
105,0.9999997,1
106,0.9082846,0
107,0.99474865,0
108,0.99999994,1
109,0.9993993,0
110,0.9999991,1
111,0.99964476,1
112,0.98762095,0
113,0.99999994,1
114,0.9988948,0
115,0.81738615,0
116,0.99244016,0
117,0.999999,1
118,0.9985007,0
119,0.9999992,1
120,0.99997574,1
121,0.9999998,0
122,0.99991196,0
123,0.9985371,1
124,0.9979922,0
125,0.9999723,0
126,0.99999934,1
127,0.4278053,0
128,0.99999994,0
129,0.9998911,1
130,0.9993654,1
131,0.99999684,1
132,0.9999406,1
133,0.9941816,1
134,0.9997976,0
135,0.9999837,1
136,0.9999946,1
137,0.9381857,0
138,0.9999785,1
139,0.9999568,0
140,0.9999904,1
141,0.9995915,0
142,0.9825828,1
143,0.9999997,1
144,0.9300614,1
145,0.9999257,0
146,0.99783915,0
147,0.99999946,1
148,0.9999761,1
149,0.9999985,0
150,0.9999998,1
151,0.94715583,1
152,0.9999165,0
153,0.999373,0
154,0.9999984,0
155,0.9979271,0
156,0.9994403,0
157,0.41447502,0
158,0.99999243,0
159,0.99986744,0
160,0.9999991,0
161,0.98945355,1
162,0.9996038,1
163,0.9999668,1
164,0.9998627,0
165,0.9995437,0
166,0.99999803,1
167,0.99997467,0
168,0.9999744,1
169,0.99570596,1
170,0.999914,0
171,0.9976142,1
172,0.99997836,0
173,0.99999994,1
174,0.99999374,1
175,0.9999984,1
176,0.9997885,0
177,0.9999215,0
178,0.999996,0
179,0.99999064,1
180,0.9995045,0
181,0.9997308,1
182,0.9999514,0
183,0.68264943,0
184,0.9999991,1
185,0.9995592,1
186,0.99959356,0
187,0.9999935,1
188,0.9981726,0
189,0.9999326,1
190,0.999922,1
191,0.9999934,1
192,0.9999458,0
193,0.9997611,1
194,0.99999934,1
195,0.99998945,1
196,0.9999712,1
197,0.9999767,1
198,0.9999992,0
199,0.99817914,0
200,0.9999936,1
201,0.99991554,1
202,0.99070877,0
203,0.99999267,0
204,0.99945223,0
205,0.999976,1
206,0.99972606,0
207,0.9967123,0
208,0.99998266,1
209,0.99999994,1
210,0.9998715,0
211,0.99999696,1
212,0.99965274,1
213,0.99999994,1
214,0.99999887,1
215,0.99999994,1
216,0.99747247,0
217,0.9999984,1
218,0.9999983,0
219,0.99999386,1
220,0.9999288,1
221,0.99995214,0
222,0.9997313,1
223,0.99984145,0
224,0.9959395,0
225,0.99999994,1
226,0.99999815,1
227,0.9995398,0
228,0.99999887,0
229,0.9999934,1
230,0.99999326,0
231,0.675988,0
232,0.99773115,0
233,0.99998945,1
234,0.9999797,0
235,0.99751455,0
236,0.99976945,0
237,0.99999994,1
238,0.9994074,0
239,0.99995774,1
240,0.99998647,1
241,0.9999921,1
242,0.9998119,0
243,0.99984264,1
244,0.9974443,1
245,0.9972052,1
246,0.9999725,1
247,0.99845,0
248,0.9991538,0
249,0.9999791,1
250,0.9999967,1
251,0.999934,1
252,0.99999803,1
253,0.9999538,0
254,0.9999874,1
255,0.9999996,1
256,0.99950975,1
257,0.99998194,1
258,0.9999917,0
259,0.99999434,1
260,0.9999997,1
261,0.99999696,0
262,0.9999923,0
263,0.9999985,0
264,0.9910339,1
265,0.9990333,0
266,0.99999875,1
267,0.9998293,0
268,0.9999214,1
269,0.99999887,0
270,0.99998456,1
271,0.9999928,0
272,0.9999992,1
273,0.9453188,0
274,0.9999375,1
275,0.999909,0
276,0.9999984,0
277,0.9990199,0
278,0.9450912,1
279,0.9999991,1
280,0.99994427,1
281,0.9999524,1
282,0.9999053,1
283,0.9945223,1
284,0.99999017,1
285,0.99970996,1
286,0.9999271,1
287,0.9999996,0
288,0.99999374,1
289,0.9987224,0
290,0.99378794,0
291,0.9999992,1
292,0.99950415,1
293,0.9999986,1
294,0.99988323,0
295,0.99999744,0
296,0.9997455,0
297,0.9999916,1
298,0.9999915,1
299,0.99999887,1
300,0.9999961,1
301,0.9999997,1
302,0.99999255,0
303,0.9999948,1
304,0.99995905,0
305,0.99965453,0
306,0.9999699,1
307,0.9765097,1
308,0.99517053,0
309,0.9999253,0
310,0.9999998,1
311,0.9999874,0
312,0.9999513,0
313,0.99924743,1
314,0.99999696,0
315,0.9999674,0
316,0.99999267,0
317,0.99998623,1
318,0.9999973,0
319,0.99999815,1
320,0.99999386,1
321,0.99990374,0
322,0.9999972,1
323,0.9998911,1
324,0.99996203,0
325,0.9978044,1
326,0.99999875,1
327,0.9999935,0
328,0.99925613,0
329,0.99851644,0
330,0.99985766,1
331,0.99999994,1
332,0.9994932,1
333,0.98393434,0
334,0.9994866,1
335,0.9999098,0
336,0.99999887,0
337,0.99999994,0
338,0.99999493,1
339,0.99967706,1
340,0.9999996,1
341,0.99999994,1
342,0.9999251,0
343,0.99999934,1
344,0.9999997,1
345,0.9999984,0
346,0.9999389,0
347,0.99997264,0
348,0.9999996,1
349,0.9999929,0
350,0.9999997,0
351,0.99999565,1
352,0.9999997,0
353,0.9916216,0
354,0.99968493,1
355,0.9998703,1
356,0.9999034,0
357,0.99999446,1
358,0.99985456,1
359,0.99995476,1
360,0.9999301,1
361,0.9999588,0
362,0.9999935,0
363,0.9998739,1
364,0.99998873,1
365,0.9999899,1
366,0.9960908,0
367,0.9999997,0
368,0.5741644,0
369,0.99999994,1
370,0.9971133,0
371,0.9999997,0
372,0.9998629,0
373,0.999973,1
374,0.9999997,1
375,0.99996036,0
376,0.99998707,1
377,0.9999786,1
378,0.9999922,1
379,0.9999103,0
380,0.9925764,0
381,0.99849474,0
382,0.99977183,1
383,0.99999887,1
384,0.99996656,0
385,0.99990755,0
386,0.99999946,0
387,0.9999998,1
388,0.9979823,1
389,0.9999742,1
390,0.99999243,1
391,0.9986419,0
392,0.99960726,0
393,0.9999111,0
394,0.99996394,0
395,0.99996537,1
396,0.9994771,0
397,0.97751254,0
398,0.9999922,0
399,0.9999433,0
400,0.9997833,0
401,0.99998146,1
402,0.9984902,0
403,0.9999823,1
404,0.99995977,1
405,0.9064214,0
406,0.9999904,1
407,0.99999493,0
408,0.99889195,0
409,0.999976,0
410,0.99582446,0
411,0.9999996,0
412,0.9999967,1
413,0.9882202,1
414,0.99620056,0
415,0.99991804,1
416,0.99994653,1
417,0.9999996,1
418,0.9999072,0
419,0.99999946,1
420,0.9993717,1
421,0.9995006,0
422,0.99992174,0
423,0.9854406,1
424,0.99990827,0
425,0.9997438,1
426,0.99999994,1
427,0.99968994,0
428,0.9999996,0
429,0.9995093,1
430,0.9999947,1
431,0.2368636,0
432,0.99999934,1
433,0.99999994,1
434,0.99995667,1
435,0.9999998,1
436,0.99992734,0
437,0.999732,1
438,0.99999946,1
439,0.99995023,1
440,0.9999489,0
441,0.99986815,0
442,0.9999978,0
443,0.8335133,0
444,0.9999972,0
445,0.9999004,1
446,0.99993986,0
447,0.9999617,0
448,0.99992603,1
449,0.99999505,0
450,0.99182254,1
451,0.9074765,0
452,0.9995951,1
453,0.99993104,1
454,0.9996334,1
455,0.99999744,0
456,0.9999952,1
457,0.99999887,1
458,0.99999994,1
459,0.9999978,0
460,0.99997765,1
461,0.999794,0
462,0.9999998,1
463,0.99999946,0
464,0.9999998,1
465,0.99996954,1
466,0.9996006,0
467,0.986776,0
468,0.9991835,0
469,0.9999997,1
470,0.99996096,0
471,0.99922353,1
472,0.9999996,1
473,0.99998385,0
474,0.99999577,1
475,0.9999872,1
476,0.9999992,0
477,0.999953,1
478,0.999999,0
479,0.99999875,0
480,0.88169074,0
481,0.9999986,1
482,0.9916178,1
483,0.9999997,0
484,0.9999793,0
485,0.999999,1
486,0.9996797,1
487,0.9999992,0
488,0.9997078,0
489,0.9994198,1
490,0.99937564,0
491,0.9998038,0
492,0.9999986,1
493,0.9995169,0
494,0.9999966,1
495,0.9870174,0
496,0.99999875,0
497,0.9999077,1
498,0.9998343,1
499,0.99999946,1
500,0.99922884,1
501,0.9999986,0
502,0.9995677,0
503,0.9999034,0
504,0.9982527,0
505,0.9999986,1
506,0.9999965,1
507,0.9999842,1
508,0.99991924,0
509,0.999952,0
510,0.9999873,1
511,0.9989458,0
512,0.999994,1
513,0.99434125,0
514,0.9999992,1
515,0.9996179,0
516,0.99999696,1
517,0.99995965,1
518,0.9996179,0
519,0.9999986,1
520,0.99770224,1
521,0.9999898,1
522,0.9999884,1
523,0.9992955,0
524,0.9994877,0
525,0.9999899,1
526,0.99998814,1
527,0.99998087,0
528,0.9957621,0
529,0.99967,1
530,0.99998504,1
531,0.99999493,1
532,0.99999636,1
533,0.9998892,0
534,0.99999243,0
535,0.9999971,1
536,0.9998667,0
537,0.99999076,1
538,0.99986815,1
539,0.9997231,0
540,0.99985504,1
541,0.9997268,0
542,0.9999998,0
543,0.99999446,1
544,0.9999984,1
545,0.99985933,1
546,0.99992687,1
547,0.9967306,0
548,0.9984969,0
549,0.99999577,1
550,0.99993926,1
551,0.9999985,1
552,0.99850714,0
553,0.9954401,0
554,0.9999674,0
555,0.99996525,1
556,0.99999243,0
557,0.9999563,1
558,0.99999136,0
559,0.9999996,1
560,0.99999994,0
